2025-04-13 21:30:40 [INFO] system: Logging system initialized
2025-04-13 21:30:40 [ERROR] src.entities.Stars: Not enough available positions to place stars.
2025-04-13 21:30:40 [INFO] src.ui.sound_manager: Sound system initialized successfully
2025-04-13 21:30:40 [WARNING] src.ui.sound_manager: Could not load sound: click
2025-04-13 21:30:40 [WARNING] src.ui.sound_manager: Could not load sound: hover
2025-04-13 21:30:40 [WARNING] src.ui.sound_manager: Could not load sound: transition
2025-04-13 21:30:40 [WARNING] src.ui.sound_manager: Could not load sound: start_game
2025-04-13 21:30:40 [WARNING] src.ui.sound_manager: Could not load sound: win
2025-04-13 21:30:40 [INFO] src.ui.menu_manager: Menu system initialized
2025-04-13 21:30:40 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:40 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:40 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:40 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:40 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:40 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:40 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:40 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:40 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:40 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:40 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:40 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:40 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:40 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:40 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:40 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:40 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:40 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:41 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:41 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:41 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:41 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:41 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:41 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:41 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:41 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:41 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:41 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:41 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:41 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:41 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:41 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:41 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:41 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:41 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:41 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:41 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:41 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:41 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:41 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:41 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:41 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:41 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:41 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:41 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:41 [INFO] src.ui.menu_manager: Drawing background for menu: main
